id,operacional_system,processor,memory,graphics,fk_game_id
Windows® 7 (Service Pack 1) / Windows® 8 / Windows® 8.1 / Windows® 10 / (64-bit only),AMD Ryzen 5 2600 or Intel Core i7-4790.,16 GB,NVIDIA GeForce GTX 1650 or AMD Radeon RX 470. At least 4GB of dedicated VRAM.,35 GB,63286627d91a4eed93498b076bfe3761
Windows 7,Intel Core i5-650 | AMD Phenom II X4 965,6 GB,"Nvidia GeForce GTX 650, 1 GB | AMD Radeon HD HD 6950, 2 GB",3 GB,732caedfe2c54133851205dbbfe61915
Windows 10,Intel Core i5-2300 | AMD FX-6300,8 GB,"Nvidia GeForce GTX 660, 2 GB | AMD Radeon HD 7970, 3 GB",3 GB,732caedfe2c54133851205dbbfe61915
" Windows 8.1, Windows 10 (64-bit versions)","2.5 GHz CPU, 4 cores",8 GB RAM,"GeForce 950, AMD Radeon 530",2 GB available space,aeca462087c641eb91cfd2b4371a5840
" Windows 8.1, Windows 10 (64-bit versions)","2.5 GHz CPU, 4 cores",8 GB RAM,"GeForce 950, AMD Radeon 530",2 GB available space,aeca462087c641eb91cfd2b4371a5840
Windows 7,Intel Core i5-2300 (2.8 GHz),8 GB,GeForce GTX 470 / Radeon R9 M270X,2 GB available space,7f77c0243e1c44309f3c89fe2119fb0e
Windows 7,Intel Core i7-4700MQ (3.20GHz),8 GB,GeForce GTX 650 / Radeon RX 550,2 GB available space,7f77c0243e1c44309f3c89fe2119fb0e
Windows 10 64-bit,Intel Core i5 7500/ AMD FX-8350, 8 GB RAM,Nvidia GeForce GTX 960 / ATI Radeon HD 7990,12 GB available space,5e7ce1899f0b4871ba393abea8953f57
Windows 10 64-bit,Intel Core i7 4790/ AMD Ryzen 7 3780U, 8 GB RAM,Nvidia GeForce GTX 1060 / ATI Radeon RX 5600,12 GB available space,5e7ce1899f0b4871ba393abea8953f57
WindowsXP SP2 or higher,Dual core 2.4GHz,2048 MB,Video card with 512MB of VRAM,2 GB,2a112cd37b774426990583a259e25ef9
Windows 7 or higher,Quadcore 2.5GHz,4096 MB,Video card with 1024MB of VRAM,2 GB,2a112cd37b774426990583a259e25ef9
Windows 10 64-bit,Intel Core i5-6402P or AMD Ryzen 1300X,8 GB,NVIDIA GeForce GTX 960 4 GB or AMD Radeon R9 380 4 GB,8 GB,4de114969d2446699fb5b505269fe415
Windows 10 64-bit,Intel Core i5-7600K or AMD Ryzen 1700,16 GB,NVIDIA GeForce GTX 1660 Ti 6 GB or AMD Radeon RX 590 6 GB,8 GB,4de114969d2446699fb5b505269fe415
Windows XP,Dual Core 2.33 GHz Intel or 3.0 GHz AMD,2 GB RAM,"Geforce GTX 8800, AMD Radeon 4850 or Intel HD Graphics 5200 or better (1GB graphics memory or more. Shader Model 3.0 needs to be supported)",2 GB available space,cda071f564904752ae92981ea323784b
Windows 7,Quad Core 2.66 Ghz Intel or 3.2 GHz AMD,4 GB RAM,Geforce GTX 660 Ti or AMD Radeon 6850 or better (1GB graphics memory or more. Shader Model 3.0 needs to be supported),2 GB available space,cda071f564904752ae92981ea323784b
Mac OS X 10.6 (Snow Leopard),Intel Core 2 Duo,2 GB RAM,Graphics card supporting OpenGL 2.1 or later. 256MB graphics memory or more.,1 GB HD space,7f50678081dc40ecaab4cf5f6bd73f2a
Mac OS X 10.6 (Snow Leopard),Intel Core i5,4 GB RAM,ATI Radeon HD 2900 or NVIDIA GeForce 8800 or better. 512MB graphics memory or more.,2 GB HD space,7f50678081dc40ecaab4cf5f6bd73f2a
Windows® 10 64 bit Build 1903,AMD Ryzen™ 5 1400 / Intel® Core™ i5-4460,8GB,NVIDIA® GeForce® GTX 1060 6GB / AMD Radeon™ RX 570,80GB,a2fc9e21ab4e416680c2b9597b7f6eaf
Windows® 10 64 bit Build 1903,AMD Ryzen™ 5 1600 / Intel® Core™ i7-4790,16GB,NVIDIA® GeForce® GTX 1660 Super / AMD Radeon™ RX 590,80GB,a2fc9e21ab4e416680c2b9597b7f6eaf
Windows 7 64-bit,Intel Core2 Duo E8400 or AMD Phenom II x2 550,4GB RAM,GeForce GTX 260 or Radeon HD 4850,4GB,bf0198be86de4b168f1f1e94930163bc
Windows 10 64-bit,Intel Core i5-750 or AMD Phenom II x4 945,4GB RAM,GeForce GTX 650 or Radeon HD 5770,4GB,bf0198be86de4b168f1f1e94930163bc
Windows 7,Intel Core i3-530,4 GB RAM,NVIDIA GeForce GTX 260 / ATI Radeon HD 4870,3 GB available space,0af5da05c76943f8a7da7cc65949ffd4
"Windows 10, 64-bits",Intel Core i7,8 GB RAM,NVIDIA GeForce GTX 660 / ATI Radeon HD 7850,3 GB available space,0af5da05c76943f8a7da7cc65949ffd4
Windows 7 / 8 / 10 64-bits,Core i3 3.6GHz,8 GB,NVIDIA® GeForce® GTX 960 (Lower PC Can Run it but loses Fps and Graphics Quality),15 GB,1c5397e7c768490c8923aea72aacac9b
Windows 10 64-bits,Core i5 3.20ghz,16 GB,NVIDIA® GeForce® GTX 1060 with 6GB VRAM or Higher,15 GB,1c5397e7c768490c8923aea72aacac9b
"Windows 7 64-bit, Windows 8.1, Windows 10",Intel Core i5-4330/AMD FX-6300,8 GB RAM,NVIDIA GeForce GTX 960 2GB/ AMD Radeon R7 370 2GB,2 GB,feb54dfc423448a98cd15c5ef44c9b69
"64-bit Windows 7, Windows 8.1, or Windows 10",Intel Core i5-6600K/ AMD Ryzen 5 1600,16 GB RAM,Nvidia GeForce GTX 1060 3GB/ AMD Radeon RX 580 4GB,3 GB,feb54dfc423448a98cd15c5ef44c9b69
