id,name,game_slug,price,release_date,platform,description,developer,publisher,genres
4c81547b81064acfb1902be7b06d6366,Assassin's Creed® I: Director's Cut,assassins-creed-1,1999,2008-04-09T15:00:00.000Z,Windows,"You are an Assassin, a warrior shrouded in secrecy and feared for your ruthlessness. Your actions can throw your immediate environment into chaos, and your existence will shape events during this pivotal moment in history.",Ubisoft,Ubisoft,"ACTION,RPG"
3fdbd69050ec4091a68481b397f0a5dd,LEGO® Batman™: The Videogame,lego-batman,1999,2008-09-28T15:00:00.000Z,Windows,"When all the villains in Arkham Asylum team up and break loose, only the dynamic duo is bold enough to take them on to save Gotham City. The fun of LEGO, the drama of Batman and the uniqueness of the combination makes for a comical and exciting adventure in LEGO Batman: The Vi...",Traveller's Tales,Warner Bros.,ACTION
5f82cbea3fdd42e2b9b9dfe8439b96b3,World of Goo,world-of-goo,1499,2008-10-13T15:00:00.000Z,"Windows,Mac",You Can't Stop Progress,2D Boy,2D Boy,"INDIE,PUZZLE"
497cdc35842e458ca10a1edae95ae181,Shadow Complex Remastered,shadow-complex,1499,2009-08-19T14:00:00.000Z,"Mac,Windows",SHADOW COMPLEX IS BACK....AND BETTER THAN EVER!,Epic Games,Epic Games,ACTION
0f96082fc0b8475db86cba86c8b6a796,Batman Arkham Asylum Game of the Year Edition,batman-arkham-asylum,1999,2010-03-26T15:00:00.000Z,Windows,Experience what it’s like to be Batman and face off against Gotham's greatest villians. Explore every inch of Arkham Asylum and roam freely on the infamous island.,Rocksteady Studios,Warner Bros.,"ACTION,FIGHTING,STEALTH"
49bdb24baa564f8c92848abe14112436,Limbo,limbo,999,2010-07-30T15:00:00.000Z,Windows,"Uncertain of his sister's fate, a boy enters LIMBO",Playdead,Playdead,"INDIE,PLATFORMER,PUZZLE"
e6dfe28ad2644018aa29f67054ff0391,Costume Quest,costume-quest,999,2010-10-19T13:00:00.000Z,Windows,"Costume Quest is a Halloween adventure from Tim Schafer's Double Fine Productions. In this charming role-playing game, choose your hero and trick-or-treat through three beautiful environments full of Double Fine humor and story.",Double Fine Productions,Double Fine Productions,"ADVENTURE,RPG"
58f2e8dff4a84c5796ebcbdd5d10fe34,Super Meat Boy,super-meat-boy,1499,2010-10-20T15:00:00.000Z,Windows,Super Meat Boy is a tough as nails platformer where you play as a boy without skin who needs to save his girlfriend made of bandages from an evil fetus in a jar wearing a top hat and a monocle.,Team Meat,Team Meat,"ACTION,PLATFORMER"
a90dd6aacad84318aa8d81d87cad5063,The Walking Dead: Season One,walking-dead-season-one,1499,2012-04-24T15:00:00.000Z,Windows,"The Walking Dead is a five-part game series set in the same universe as Robert Kirkman’s award-winning comic book series. Play as Lee Everett, a convicted criminal, who has been given a second chance at life in a world devastated by the undead. With corpses returning to life a...",Telltale Games,Skybound Games,"SINGLE_PLAYER,NARRATION,ADVENTURE"
da621d3c18154c82aedab85687fccdc6,Alan Wake’s American Nightmare,alan-wake-american-nightmare,899,2012-05-22T15:00:00.000Z,Windows,"A thrilling new storyline, hordes of creepy enemies, serious firepower and beautiful Arizona locations, combined with a fun and challenging new game mode!",Remedy Entertainment,Remedy Entertainment,"HORROR,ACTION,SHOOTER"
e97aca322ee540edac26749e74e94ca1,Ticket to Ride,ticket-to-ride,999,2012-05-24T08:00:00.000Z,Windows,"The official adaptation of Days of Wonder's best-selling train board game, Ticket to Ride takes less than one minute to learn but a lifetime to master. Over 70 million games played online and a new game starting every 4 seconds on average! In addition to the exciting cross-pla...",Days of Wonder,Asmodee Digital,"STRATEGY,MULTIPLAYER,PARTY"
bad91db9e66044fdaf195d6a8e882cdb,LEGO® Batman™ 2: DC Super Heroes,lego-batman-2,1999,2012-06-22T15:00:00.000Z,Windows,"Legends Unite! The Dynamic Duo of Batman and Robin join other famous super heroes from the DC Universe including Superman, Wonder Woman and Green Lantern to save Gotham City from destruction at the hands of the notorious villains Lex Luthor and the Joker.",Traveller's Tales,Warner Bros.,"ACTION,OPEN_WORLD"
1d96b05c04804b4e8df4b376e3c1c490,Batman Arkham City Game of the Year Edition,batman-arkham-city,1999,2012-09-07T15:00:00.000Z,Windows,Get Batman: Arkham City and all DLC for one low price with the release of the GOTY Edition!,Rocksteady Studios,Warner Bros.,"ACTION,FIGHTING,STEALTH"
9ccfdd9d080949f99d4d2b0aa321b165,Little Inferno,little-inferno,1499,2012-11-19T15:00:00.000Z,"Windows,Mac,Win32",Something's Burning...,Tomorrow Corporation,Tomorrow Corporation,"INDIE,PUZZLE,SIMULATION"
50ca821abd824c2994ad1798eb8454a6,Far Cry®3 Standard Edition,far-cry-3,1999,2013-01-15T10:00:00.000Z,Windows,"Far Cry 3 is an open world first-person shooter set on an island unlike any other. And as you embark on a desperate quest to rescue your friends, you realize that the only way to escape this darkness… is to embrace it","Ubisoft Montreal,Massive Entertainment,Ubisoft Shanghai",Ubisoft,"OPEN_WORLD,FPS,ACTION"
674967c55648467ba8e9d163a27170db,The Bridge,the-bridge,999,2013-02-22T16:00:00.000Z,"Mac,Windows",The Bridge is a logic puzzle game that forces the player to reevaluate their preconceptions of physics and perspective. It is Isaac Newton meets M.C. Escher. Manipulate gravity to redefine the ceiling as the floor while venturing through impossible architectures.,"The Quantum Astrophysicists Guild, Ty Taylor,Mario Castañeda",The Quantum Astrophysicists Guild,"INDIE,PLATFORMER,PHYSICS"
b4eb01e10f224126b7b4f7a56a65a6ec,The Walking Dead: Season Two,walking-dead-season-two,1499,2013-02-23T15:00:00.000Z,Windows,"Many months have passed since the events seen in Season One of The Walking Dead, and Clementine is searching for safety. But what can an ordinary child do to stay alive when the living can be just as bad – and sometimes worse – than the dead? As Clementine, you will be tested ...",Telltale Games,Skybound Games,"SINGLE_PLAYER,NARRATION,ADVENTURE"
442f123b4d884d8ca85236aa30b99a79,Fez,fez,999,2013-04-13T15:00:00.000Z,"Windows,Mac","Gomez is a 2D creature living in a 2D world. Or is he? When the existence of a mysterious 3rd dimension is revealed to him, Gomez is sent out on a journey that will take him to the very end of time and space. Use your ability to navigate 3D structures from 4 distinct classic 2...","Polytron Corporation, Inc","Polytron Corporation, Inc","PUZZLE,PLATFORMER,SINGLE_PLAYER"
4daf8ec797014b5eb4a9cdb41d73bb60,South Park™: The Stick of Truth™,south-park-the-stick-of-truth,2999,2014-03-04T10:00:00.000Z,Windows,"From the perilous battlefields of the fourth-grade playground, a young hero will rise, destined to be South Park’s savior.",Obsidian Entertainment,Ubisoft,"RPG,COMEDY,TURN_BASED"
7981b6d8a37142b9aed96155b93ff8da,Child of Light: Ultimate Edition,child-of-light,1999,2014-04-30T15:00:00.000Z,Windows,"Aurora, a young girl from 1895 Austria, awakens on the lost fairytale continent of Lemuria. To return home she must fight against the dark creatures of the Queen of the Night, who have stolen the sun, the moon and the stars.",Ubisoft Montréal,Ubisoft,"RPG,ADVENTURE"
9a03fddd502943d2af8c94daeb667b04,Transistor,transistor,1999,2014-05-20T15:00:00.000Z,"Windows,Mac",Discover the world of Transistor,Supergiant Games,Supergiant Games,"ACTION,RPG,SINGLE_PLAYER"
61b641c3702f4770ac525101b39f0063,FTL: Faster Than Light,faster-than-light,999,2014-09-14T16:00:00.000Z,"Windows,Mac",This spaceship simulation roguelike-like allows you to take your ship and crew on an adventure through a randomly generated galaxy filled with glory and bitter defeat.,Subset Games,Subset Games,"ROGUE_LIKE,SPACE_SIM,STRATEGY"
84505cf3bfd8411288bb15489ca8ed48,LEGO® Batman™ 3: Beyond Gotham,lego-batman-3,1999,2014-11-11T15:00:00.000Z,Windows,The Caped Crusader joins forces with the super heroes of the DC Comics universe and blasts off to outer space to stop the evil Brainiac from destroying Earth.,Traveller's Tales,Warner Bros.,"ACTION,OPEN_WORLD"
534710b9b01d46b49a8d31ce5ad8ff36,Assassin's Creed Unity,assassins-creed-unity,2999,2014-11-11T16:00:00.000Z,Windows,Assassin’s Creed Unity tells the story of Arno who embarks upon an extraordinary journey to expose the true powers behind the French Revolution.,Ubisoft,Ubisoft,"OPEN_WORLD,STEALTH,ACTION"
2263134da81944f4aedb1977049ef2da,This War of Mine,this-war-of-mine,1999,2014-11-14T15:00:00.000Z,"Windows,Mac","In This War Of Mine you do not play as an elite soldier, rather a group of civilians trying to survive in a besieged city; struggling with lack of food, medicine and constant danger from snipers and hostile scavengers. The game provides an experience of war seen from an entire...",11 Bit Studios,11 Bit Studios,"SURVIVAL,HORROR,SINGLE_PLAYER"
f2546a46804147bfb6ab74937caf9295,The Jackbox Party Pack,jackbox-party-pack-1,2499,2014-11-18T15:00:00.000Z,"Windows,Mac,Win32",For 1-100 players! Your phones or tablets are your controllers! The team behind YOU DON’T KNOW JACK presents FIVE guffaw-inducing party games in one pack!   Games include:   1) The comedy trivia sensation YOU DON’T NOW JACK 2015 (1-4 players) with hundreds of all-new questions...,Jackbox Games,Jackbox Games,"CASUAL,PARTY,TRIVIA"
c071ea77ba2f4983b4515eae0f4216b6,FAR CRY 4,far-cry-4,2999,2014-11-18T16:00:00.000Z,Windows,"You are Ajay Ghale. Traveling to Kyrat, you find yourself caught up in a civil war to overthrow the twisted dictator Pagan Min.",Ubisoft,Ubisoft,"ACTION,OPEN_WORLD,SHOOTER,SINGLE_PLAYER,ADVENTURE,EXPLORATION,FPS"
afe468383a89436e889fd8d9d06d827e,The Talos Principle,the-talos-principle,3999,2014-12-11T11:00:00.000Z,"Windows,Mac","The Talos Principle is a first-person puzzle game in the tradition of philosophical science fiction. Made by Croteam and written by Tom Jubert (FTL, The Swapper) and Jonas Kyratzes (The Sea Will Claim Everything).", Croteam," Devolver Digital, Croteam","ACTION,ADVENTURE,INDIE"
86911468c5d04a1d8a4e78eb45ceb955,UNREAL TOURNAMENT EDITOR,unreal-tournament,0,2015-02-09T00:00:00.000Z,"Windows,Mac","Unreal® Tournament is being developed as a collaboration between gamers, developers and Epic Games. The community can not only play the game while it is being developed, but also share ideas, make mods or even help with development.  Install the Unreal Tournament editor to sta...",Epic Games,Epic Games,"FIRST_PERSON,SHOOTER"
9a85e064672249f6976b92c2d8db56b5,Unreal Tournament,unreal-tournament,0,2015-02-10T00:00:00.000Z,"Windows,Mac","This is an early version of the Unreal Tournament experience, featuring new content and returning classics. There’s still a lot of work to be done, but you’re able to participate, today, and earn in-game rewards available only to Pre-Alpha participants. Come check out the prog...",Epic Games,Epic Games,"FIRST_PERSON,SHOOTER"
